INSERT INTO SINONIMOS VALUES("AVC", "acidente vascular cerebral");
INSERT INTO SINONIMOS VALUES("epidérmico", "sebáceo");
INSERT INTO SINONIMOS VALUES("tônico-clônico", "grand mal");
INSERT INTO SINONIMOS VALUES("epilepsias", "convulsões");
INSERT INTO SINONIMOS VALUES("ausência de epilepsia", "petit mal");
INSERT INTO SINONIMOS VALUES("epilepsia", "encaixa");
INSERT INTO SINONIMOS VALUES("epistaxe", "sangramento nasal");
INSERT INTO SINONIMOS VALUES("herpesvírus humano 4", "vírus de Epstein Barr");
INSERT INTO SINONIMOS VALUES("anemia infecciosa eqüina", "cavalos da febre do pântano");
INSERT INTO SINONIMOS VALUES("deformidade", "contratura");
INSERT INTO SINONIMOS VALUES("vitamina D2", "ergocalciferol");
INSERT INTO SINONIMOS VALUES("eructação", "Arrotar");
INSERT INTO SINONIMOS VALUES("eritroblastos", "glóbulos vermelhos nucleados");
INSERT INTO SINONIMOS VALUES("patas do eritrócito", "hussardo");
INSERT INTO SINONIMOS VALUES("eritrócitos", "hemácia");
INSERT INTO SINONIMOS VALUES("diafragmático parahiatal", "hiatal");
INSERT INTO SINONIMOS VALUES("distúrbios de motilidade", "dismotilidade");
INSERT INTO SINONIMOS VALUES("estenose", "constrição");
INSERT INTO SINONIMOS VALUES("pético", "refluxo");
INSERT INTO SINONIMOS VALUES("esofagogástrico", "gastroesofágico");
INSERT INTO SINONIMOS VALUES("estética", "Cosmético");
INSERT INTO SINONIMOS VALUES("antagonistas do estrogênio", "antiestrogênio");
INSERT INTO SINONIMOS VALUES("sintético", "análogos");
INSERT INTO SINONIMOS VALUES("etamsilato", "etamsilato");
INSERT INTO SINONIMOS VALUES("eutanásia", "matança de misericórdia");
INSERT INTO SINONIMOS VALUES("exantema", "erupção cutânea");
INSERT INTO SINONIMOS VALUES("exanthema subitum", "roséola");
INSERT INTO SINONIMOS VALUES("excisão", "remoção cirurgica");
INSERT INTO SINONIMOS VALUES("ação de exenteração", "evisceração");
INSERT INTO SINONIMOS VALUES("esforço", "trabalho duro físico");
INSERT INTO SINONIMOS VALUES("glucano 14-alfa-glucosidase", "maltase ácida");
INSERT INTO SINONIMOS VALUES("exophiala", "wangiella");
INSERT INTO SINONIMOS VALUES("exotoses externos", "bloqueio de orelha causado osso overgrown");
INSERT INTO SINONIMOS VALUES("relações extraconjugais", "adultério");
INSERT INTO SINONIMOS VALUES("complexos cardíacos prematuros", "extrassístole");
INSERT INTO SINONIMOS VALUES("extravasamento", "vazamento");
INSERT INTO SINONIMOS VALUES("estrutura do membro", "pernas de braços");
INSERT INTO SINONIMOS VALUES("prótese ocular", "olho artificial");
INSERT INTO SINONIMOS VALUES("cara", "facial");
INSERT INTO SINONIMOS VALUES("hemiatrofia facial", "síndrome de parry romberg");
INSERT INTO SINONIMOS VALUES("doenças nervosas", "paralisia");
INSERT INTO SINONIMOS VALUES("fator ix", "ptc");
INSERT INTO SINONIMOS VALUES("Relacionado com viii", "von willebrand");
INSERT INTO SINONIMOS VALUES("fator xi", "pta");
INSERT INTO SINONIMOS VALUES("xii", "hageman");
INSERT INTO SINONIMOS VALUES("ovidutos de mamíferos", "trompa de Falópio");
INSERT INTO SINONIMOS VALUES("pessoas famosas", "celebridade");
INSERT INTO SINONIMOS VALUES("anemia", "síndrome");
INSERT INTO SINONIMOS VALUES("fasciculação", "contraindo");
INSERT INTO SINONIMOS VALUES("fasciola hepatica", "ferida do fígado");
INSERT INTO SINONIMOS VALUES("não esterificado", "livre");
INSERT INTO SINONIMOS VALUES("fezes", "banquinho");
INSERT INTO SINONIMOS VALUES("femoral", "fêmur");
INSERT INTO SINONIMOS VALUES("fêmur", "osso da coxa");
INSERT INTO SINONIMOS VALUES("labirinto", "ouvido interno");
INSERT INTO SINONIMOS VALUES("fertilização", "impregnação");
INSERT INTO SINONIMOS VALUES("anoxia fetal", "asfixia intrauterina");
INSERT INTO SINONIMOS VALUES("retardo de crescimento fetal", "iugr");
INSERT INTO SINONIMOS VALUES("phetanol", "fetanol");
INSERT INTO SINONIMOS VALUES("adesivo de tecido", "cola");
INSERT INTO SINONIMOS VALUES("fibrinolítico", "trombolítico");
INSERT INTO SINONIMOS VALUES("fibrodisplasia", "miosite");
INSERT INTO SINONIMOS VALUES("osso displasia", "osteíte");
INSERT INTO SINONIMOS VALUES("ficusin", "psoraleno");
INSERT INTO SINONIMOS VALUES("comportamento de ativação de fogos", "piromania");
INSERT INTO SINONIMOS VALUES("flatulência", "passagem de gás");
INSERT INTO SINONIMOS VALUES("vítreo", "olho");
INSERT INTO SINONIMOS VALUES("floxacilina", "flucloxacilina");
INSERT INTO SINONIMOS VALUES("fluorocarbonetos", "perfluorocarbono");
INSERT INTO SINONIMOS VALUES("hipoplasia dérmica focal", "síndrome de goltz");
INSERT INTO SINONIMOS VALUES("ácido fólico", "complexo vitamina B");
INSERT INTO SINONIMOS VALUES("antagonistas do ácido fólico", "antifolizar");
INSERT INTO SINONIMOS VALUES("fortificado", "enriquecido");
INSERT INTO SINONIMOS VALUES("doença de pé e boca", "aftose");
INSERT INTO SINONIMOS VALUES("forhistal", "fenistil");
INSERT INTO SINONIMOS VALUES("formigamento", "sensação de rastejamento");
INSERT INTO SINONIMOS VALUES("ácido formiminoglutâmico", "figlu");
INSERT INTO SINONIMOS VALUES("peste aviária", "gripe aviária");
INSERT INTO SINONIMOS VALUES("osso do carpo", "pulso");
INSERT INTO SINONIMOS VALUES("aberto", "composto");
INSERT INTO SINONIMOS VALUES("não unidos", "não-união");
INSERT INTO SINONIMOS VALUES("liofilização", "liofilização");
INSERT INTO SINONIMOS VALUES("froehlich", "de frohlich");
INSERT INTO SINONIMOS VALUES("frutose", "açúcar de frutas");
INSERT INTO SINONIMOS VALUES("intestino", "intestino");
INSERT INTO SINONIMOS VALUES("caixa de funil congênita", "pectus excavatum");
INSERT INTO SINONIMOS VALUES("furaldeído", "furfural");
INSERT INTO SINONIMOS VALUES("espinhal", "raiz dorsal");
INSERT INTO SINONIMOS VALUES("gastrite", "inflamação do estômago");
INSERT INTO SINONIMOS VALUES("gastrite hipertrófica", "doença de meningrier");
INSERT INTO SINONIMOS VALUES("estômago endoscópico", "gastroscopia");
INSERT INTO SINONIMOS VALUES("adaptação geral", "estresse");
INSERT INTO SINONIMOS VALUES("aterosclerose generalizada", "arteriopatia");
INSERT INTO SINONIMOS VALUES("homeobox", "hox");
INSERT INTO SINONIMOS VALUES("herpes zoster oticus", "síndrome de ramsey hunt");
INSERT INTO SINONIMOS VALUES("hiperplasia de nódulos linfáticos gigantes", "doença de Castleman");
INSERT INTO SINONIMOS VALUES("gengival", "Chiclete");
INSERT INTO SINONIMOS VALUES("gengivite", "inflamação das gengivas");
INSERT INTO SINONIMOS VALUES("gengivite ulcerativa necrosante", "boca de trincheira");
INSERT INTO SINONIMOS VALUES("ângulo aberto", "pigmentar");
INSERT INTO SINONIMOS VALUES("Taxa de filtração glomerular", "gfr");
INSERT INTO SINONIMOS VALUES("glomerulonefrite", "nefropatia");
INSERT INTO SINONIMOS VALUES("glossalgia", "língua dolorida");
INSERT INTO SINONIMOS VALUES("glossite benigno migratório", "língua geográfica");
INSERT INTO SINONIMOS VALUES("desidrogenase do glucosofosfato", "g6pd");
INSERT INTO SINONIMOS VALUES("ligase", "sintetase");
INSERT INTO SINONIMOS VALUES("glycyrrhiza", "alcaçuz");
INSERT INTO SINONIMOS VALUES("bócio", "tireóide aumentada");
INSERT INTO SINONIMOS VALUES("endêmico", "simples");
INSERT INTO SINONIMOS VALUES("disgenesia gonadal 46xy", "síndrome de swyer");
INSERT INTO SINONIMOS VALUES("supressores de gota", "agente antigote");
INSERT INTO SINONIMOS VALUES("enxerto", "transplante");
INSERT INTO SINONIMOS VALUES("doença enxerto-contra-hospedeiro", "gvhd");
INSERT INTO SINONIMOS VALUES("angiite", "vasculite");
INSERT INTO SINONIMOS VALUES("poaceae", "grama");
INSERT INTO SINONIMOS VALUES("região inguinal", "virilha");
INSERT INTO SINONIMOS VALUES("aumento anormal da distância entre duas partes de órgãos", "hipertelorismo");
INSERT INTO SINONIMOS VALUES("gryllidae", "Grilo");
INSERT INTO SINONIMOS VALUES("guanosina trifosfato fosfohidrolases", "gtpase");
INSERT INTO SINONIMOS VALUES("gmp", "monofosfato de guanosina");
INSERT INTO SINONIMOS VALUES("árabe", "acácia");
INSERT INTO SINONIMOS VALUES("lebistas", "guppy");
INSERT INTO SINONIMOS VALUES("ginecomastia", "mamário masculino");
INSERT INTO SINONIMOS VALUES("Haemophilus", "hemófilo");
INSERT INTO SINONIMOS VALUES("biótipo de influenza iii", "aegyptius");
INSERT INTO SINONIMOS VALUES("depilação", "depilação");
INSERT INTO SINONIMOS VALUES("halitose", "mal hálito");
INSERT INTO SINONIMOS VALUES("estrutura de hálux", "dedão do pé");
INSERT INTO SINONIMOS VALUES("hálux valgo", "joanete");
INSERT INTO SINONIMOS VALUES("mesocricetus auratus", "hamster sírio");
INSERT INTO SINONIMOS VALUES("febre dos fenos", "rinite alérgica sazonal");
INSERT INTO SINONIMOS VALUES("trauma craniocerebral", "ferimento na cabeça");
INSERT INTO SINONIMOS VALUES("dental", "oral");
INSERT INTO SINONIMOS VALUES("pessoal", "trabalhador");
INSERT INTO SINONIMOS VALUES("indicadores", "índice");
INSERT INTO SINONIMOS VALUES("funcional", "não orgânico");
INSERT INTO SINONIMOS VALUES("parada cardíaca induzida", "cardioplegia");
INSERT INTO SINONIMOS VALUES("átrio", "câmaras superiores");
INSERT INTO SINONIMOS VALUES("coração", "cardíaco");
INSERT INTO SINONIMOS VALUES("cardiomegalia", "coração aumentado");
INSERT INTO SINONIMOS VALUES("colapso", "síncope");
INSERT INTO SINONIMOS VALUES("proteína de choque térmico 27", "hsp27");
INSERT INTO SINONIMOS VALUES("erinaceidae", "ouriço");
INSERT INTO SINONIMOS VALUES("hematêmese", "Vomitando sangue");
INSERT INTO SINONIMOS VALUES("hematoquezia", "fezes sangrentas");
INSERT INTO SINONIMOS VALUES("agentes hematológicos", "droga sanguínea");
INSERT INTO SINONIMOS VALUES("doenças hematológicas", "Desordem sanguínea");
INSERT INTO SINONIMOS VALUES("hematoma", "sangramento");
INSERT INTO SINONIMOS VALUES("hematomielia", "hemorragia medular");
INSERT INTO SINONIMOS VALUES("hematúria", "urina de sangue");
INSERT INTO SINONIMOS VALUES("nível de hemoglobina", "hgb");
INSERT INTO SINONIMOS VALUES("hemoptise", "tossindo sangue");
INSERT INTO SINONIMOS VALUES("desordens", "diátese");
INSERT INTO SINONIMOS VALUES("febre hemorrágica argentina", "gripon");
INSERT INTO SINONIMOS VALUES("com síndrome renal", "coreano");
INSERT INTO SINONIMOS VALUES("agentes hemostáticos", "substâncias que param o sangramento");
INSERT INTO SINONIMOS VALUES("hematotímpano", "hemotímpano");
INSERT INTO SINONIMOS VALUES("hempa", "triamida hexametilfosfórica");
INSERT INTO SINONIMOS VALUES("trombose da veia hepática", "síndrome de budd-chiari");
INSERT INTO SINONIMOS VALUES("hepatomegalia", "fígado aumentado");
INSERT INTO SINONIMOS VALUES("hereditário", "genético");
INSERT INTO SINONIMOS VALUES("isquiorretal não especificado", "perineal");
INSERT INTO SINONIMOS VALUES("Herpes labial", "afta");
INSERT INTO SINONIMOS VALUES("ceratite", "ocular");
INSERT INTO SINONIMOS VALUES("herpes zoster", "telhas");
INSERT INTO SINONIMOS VALUES("herpesvírus 1 cercopitecina", "vírus b");
INSERT INTO SINONIMOS VALUES("herpesvírus 6 humano", "hhv-6");
INSERT INTO SINONIMOS VALUES("siringadenoma", "hidradenoma");
INSERT INTO SINONIMOS VALUES("grupo de alta mobilidade", "hmg");
INSERT INTO SINONIMOS VALUES("cininogênio de alto peso molecular", "fator fitzgerald");
INSERT INTO SINONIMOS VALUES("neurológico", "nervoso");
INSERT INTO SINONIMOS VALUES("hirsutismo", "pilosidade excessiva");
INSERT INTO SINONIMOS VALUES("amina oxidase", "histaminase");
INSERT INTO SINONIMOS VALUES("histiocitose não-langerhans-cell", "síndrome hemofagocítica");
INSERT INTO SINONIMOS VALUES("teste de histocompatibilidade", "tipagem tecidual");
INSERT INTO SINONIMOS VALUES("gravar eventos anteriores", "documentando a história");
INSERT INTO SINONIMOS VALUES("hiv-1", "Vírus da AIDS");
INSERT INTO SINONIMOS VALUES("HLA", "Leucócito humano");
INSERT INTO SINONIMOS VALUES("peste suína clássica", "cólera de porco");
INSERT INTO SINONIMOS VALUES("Serviços", "saúde");
INSERT INTO SINONIMOS VALUES("parto", "Entrega");
INSERT INTO SINONIMOS VALUES("infecções", "Minhoca");
INSERT INTO SINONIMOS VALUES("hordeolum", "chiqueiro");
INSERT INTO SINONIMOS VALUES("hordeolum externum", "chiqueiro");
INSERT INTO SINONIMOS VALUES("oftalmoplegia ocular simpática", "síndrome de horner");
INSERT INTO SINONIMOS VALUES("xiphosura", "caranguejo ferradura");
INSERT INTO SINONIMOS VALUES("capacidade", "Tamanho");
INSERT INTO SINONIMOS VALUES("reestruturação", "reorganização");
INSERT INTO SINONIMOS VALUES("hospitais animal", "clínicas veterinárias");
INSERT INTO SINONIMOS VALUES("pediátrico", "infantil");
INSERT INTO SINONIMOS VALUES("psiquiátrico", "mental");
INSERT INTO SINONIMOS VALUES("urbano", "cidade");
INSERT INTO SINONIMOS VALUES("casa chamada", "visita domiciliar");
INSERT INTO SINONIMOS VALUES("Vírus linfotrópico t humano 1", "htlv-1");
INSERT INTO SINONIMOS VALUES("anticorpos", "1 ab");
INSERT INTO SINONIMOS VALUES("Vírus linfotrópico t humano 2", "htlv-2");
INSERT INTO SINONIMOS VALUES("mola hidatiforme", "gravidez molar");
INSERT INTO SINONIMOS VALUES("hidrocortisona", "cortisol");
INSERT INTO SINONIMOS VALUES("hidroftalmia", "glaucoma congênito");
INSERT INTO SINONIMOS VALUES("hidroterapia", "terapia da água");
INSERT INTO SINONIMOS VALUES("oxigenases de função mista", "hidroxilase");
INSERT INTO SINONIMOS VALUES("hidroximetilglutaril-coa", "hmg-coa");
INSERT INTO SINONIMOS VALUES("gêneros hylobates", "gibões");
INSERT INTO SINONIMOS VALUES("hipercolesterolemia", "nível elevado de colesterol no sangue");
INSERT INTO SINONIMOS VALUES("hiperglicemia", "nível elevado de açúcar no sangue");
INSERT INTO SINONIMOS VALUES("hipercalemia", "sangue excessivo de potássio");
INSERT INTO SINONIMOS VALUES("hiperlipidemia", "sangue gordo excessivo");
INSERT INTO SINONIMOS VALUES("hiperlipoproteinemia tipo iii", "disbetalipoproteinemia");
INSERT INTO SINONIMOS VALUES("tipo iv", "familiar");
INSERT INTO SINONIMOS VALUES("hiperostose congênita cortical", "síndrome de caffey");
INSERT INTO SINONIMOS VALUES("hiperostose difusa idiopática esquelética", "doença de forestier");
INSERT INTO SINONIMOS VALUES("hiperplasia", "tecido do órgão de aumento anormal");
INSERT INTO SINONIMOS VALUES("hipertensão", "distúrbio de pressão alta");
INSERT INTO SINONIMOS VALUES("pulmonar", "doença pulmonar causada");
INSERT INTO SINONIMOS VALUES("hipertermia induzida", "termoterapia");
INSERT INTO SINONIMOS VALUES("hipertrigliceridemia", "triglicerídeos altos");
INSERT INTO SINONIMOS VALUES("hipertrofia", "alargamento");
INSERT INTO SINONIMOS VALUES("hipestesia", "sensação diminuída");
INSERT INTO SINONIMOS VALUES("hipocalcemia", "níveis anormalmente baixos de cálcio no sangue");
INSERT INTO SINONIMOS VALUES("hipoglicemia", "nível baixo de açúcar no sangue");
INSERT INTO SINONIMOS VALUES("hipomenorreia", "períodos de luz");
INSERT INTO SINONIMOS VALUES("hipoplasia congênita", "em desenvolvimento");
INSERT INTO SINONIMOS VALUES("hipotensão", "pressão sanguínea baixa");
INSERT INTO SINONIMOS VALUES("hipotermia natural", "baixa temperatura corporal");
INSERT INTO SINONIMOS VALUES("hipotermia induzida", "terapia fria");
INSERT INTO SINONIMOS VALUES("insuficiência respiratória relacionada ao sono", "maldição de ondina");
INSERT INTO SINONIMOS VALUES("idiotice", "retardo mental profundo");
INSERT INTO SINONIMOS VALUES("soros imunes", "antisera");
INSERT INTO SINONIMOS VALUES("natural", "inato");
INSERT INTO SINONIMOS VALUES("imunoglobulinas", "cadeia leve");
INSERT INTO SINONIMOS VALUES("memória imunológica", "anamnese");
INSERT INTO SINONIMOS VALUES("doença do intestino delgado imunoproliferativa", "ipsid");
INSERT INTO SINONIMOS VALUES("artificial", "prótese");
INSERT INTO SINONIMOS VALUES("terapia implosiva", "inundação");
INSERT INTO SINONIMOS VALUES("síndrome de adh inapropriada", "siadh");
INSERT INTO SINONIMOS VALUES("incidência", "número de novos casos de doença");
INSERT INTO SINONIMOS VALUES("incipiente", "prodromal");
INSERT INTO SINONIMOS VALUES("recém-nascido infantil", "neonatal");
INSERT INTO SINONIMOS VALUES("papilomavírus humano", "HPV");
INSERT INTO SINONIMOS VALUES("mononucleose infecciosa", "febre glandular");
INSERT INTO SINONIMOS VALUES("otite externa infecciosa não especificada", "orelha de nadadores");
INSERT INTO SINONIMOS VALUES("infratentorial", "fossa posterior");
INSERT INTO SINONIMOS VALUES("infusões intravenosas", "iv");
INSERT INTO SINONIMOS VALUES("terapia de inalação", "tratamento respiratório");
INSERT INTO SINONIMOS VALUES("produtos quimicos", "Compostos");
INSERT INTO SINONIMOS VALUES("homólogo", "marido");
INSERT INTO SINONIMOS VALUES("em serviço", "trabalho");
INSERT INTO SINONIMOS VALUES("antagonistas", "inibidor");
INSERT INTO SINONIMOS VALUES("coma", "choque");
INSERT INTO SINONIMOS VALUES("isofano", "nph");
INSERT INTO SINONIMOS VALUES("revisão de seguro", "análise");
INSERT INTO SINONIMOS VALUES("inteligência", "iq");
INSERT INTO SINONIMOS VALUES("alfa-2a", "alfa-2a");
INSERT INTO SINONIMOS VALUES("digite ii", "gama");
INSERT INTO SINONIMOS VALUES("intermitente", "pressão");
INSERT INTO SINONIMOS VALUES("sistema internacional", "si");
INSERT INTO SINONIMOS VALUES("intestinal", "nutriente");
INSERT INTO SINONIMOS VALUES("secreções intestinais", "succus entericus");
INSERT INTO SINONIMOS VALUES("pregando intramedular", "fixação");
INSERT INTO SINONIMOS VALUES("expulsão de dispositivo intra-uterino", "expulsão de iud");
INSERT INTO SINONIMOS VALUES("estômago", "gástrico");
INSERT INTO SINONIMOS VALUES("peroxidase de iodeto", "tpo");
INSERT INTO SINONIMOS VALUES("ácido iodohipúrico", "i-hippuran");
INSERT INTO SINONIMOS VALUES("lesão por radiação", "irradiado");
INSERT INTO SINONIMOS VALUES("adenoma de células de ilhotas", "nesidioblastoma");
INSERT INTO SINONIMOS VALUES("isoanticorpos", "aloanticorpo");
INSERT INTO SINONIMOS VALUES("síndrome", "hipomelanose");
INSERT INTO SINONIMOS VALUES("aparelhos intrauterinos", "iud");
INSERT INTO SINONIMOS VALUES("creutzfeldt-jakob", "jakob-creutzfeldt");
